id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
200;32;JAWA BARAT;3276;KOTA DEPOK;CERAI MATI;51077;JIWA;2014
201;32;JAWA BARAT;3277;KOTA CIMAHI;BELUM KAWIN;241075;JIWA;2014
202;32;JAWA BARAT;3277;KOTA CIMAHI;KAWIN;247917;JIWA;2014
203;32;JAWA BARAT;3277;KOTA CIMAHI;CERAI HIDUP;7616;JIWA;2014
204;32;JAWA BARAT;3277;KOTA CIMAHI;CERAI MATI;16832;JIWA;2014
205;32;JAWA BARAT;3278;KOTA TASIKMALAYA;BELUM KAWIN;321099;JIWA;2014
206;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KAWIN;320178;JIWA;2014
207;32;JAWA BARAT;3278;KOTA TASIKMALAYA;CERAI HIDUP;11231;JIWA;2014
208;32;JAWA BARAT;3278;KOTA TASIKMALAYA;CERAI MATI;25906;JIWA;2014
209;32;JAWA BARAT;3279;KOTA BANJAR;BELUM KAWIN;80326;JIWA;2014
210;32;JAWA BARAT;3279;KOTA BANJAR;KAWIN;96186;JIWA;2014
211;32;JAWA BARAT;3279;KOTA BANJAR;CERAI HIDUP;4199;JIWA;2014
212;32;JAWA BARAT;3279;KOTA BANJAR;CERAI MATI;10134;JIWA;2014
213;32;JAWA BARAT;3201;KABUPATEN BOGOR;BELUM KAWIN;2014464;JIWA;2015
214;32;JAWA BARAT;3201;KABUPATEN BOGOR;KAWIN;1995301;JIWA;2015
215;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI HIDUP;45749;JIWA;2015
216;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI MATI;97553;JIWA;2015
217;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;BELUM KAWIN;1221051;JIWA;2015
218;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;KAWIN;1165212;JIWA;2015
219;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI HIDUP;46967;JIWA;2015
220;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI MATI;70445;JIWA;2015
221;32;JAWA BARAT;3203;KABUPATEN CIANJUR;BELUM KAWIN;976493;JIWA;2015
222;32;JAWA BARAT;3203;KABUPATEN CIANJUR;KAWIN;1135105;JIWA;2015
223;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI HIDUP;46323;JIWA;2015
224;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI MATI;59823;JIWA;2015
225;32;JAWA BARAT;3204;KABUPATEN BANDUNG;BELUM KAWIN;1731207;JIWA;2015
226;32;JAWA BARAT;3204;KABUPATEN BANDUNG;KAWIN;1636878;JIWA;2015
227;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI HIDUP;47701;JIWA;2015
228;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI MATI;78683;JIWA;2015
